flair,seg,t1,t1ce,t2
"[0.4548153397624245, 145.13396094839612, 0.9855271893288428, 5014.021265324437, 0.7267806834277413, 87.40843793584379, 19910.951100349357, 3.5945680290692614, 4.8592308690643335, 0.0019160188498052648, 2.2625419784880485, -0.5051016226488554, 0.9810764681235025]","[0.31830988618379014, 0.15017900534465847, 0.034593516695179, 0.12925539473090275, 0.04789739940201764, 0.09337662175099117, 0.07607097802429083, 0.08754418943843127, 0.034687346829028604, 0.01898919954500948, 0.0553158550269956, 0.01656324529864811, 0.03751188064438236, 0.016623773282562003, 0.02858019302069361, 0.036753463078545115, 0.04855611827886008, 0.05180797166948771, 0.029772184911476127, 0.056728002105980536, 0.0136727894577772, 0.024481331440221042, 0.037225563048880125, 0.04004945011654502, 0.04705605679187755, 0.032987127958405804, 0.0495584238577219, 0.04590237176344911, 0.02555514920330015, 0.058499510515168614, 0.02618829129416646, 0.03626630555364052, 0.05063719868462202, 0.04813270251528056, 0.01648851168014861, 0.037252882377388864]","[0.318309886183791, 0.04731222892097056, 0.021575959547098546, 0.01598367380053195, 0.02528901827916995, 0.028540444902338348, 0.024461892831722575, 0.015212866908701607, 0.029512999813427386, 0.02384157073435247, 0.02569589862942282, 0.008293905507366849, 0.008875289539926907, 0.014525471232256074, 0.012447255710912415, 0.022427393036120406, 0.03341906458821686, 0.022851976752881174, 0.029546211740611523, 0.04350538251139354, 0.018833007006772057, 0.014836163030040218, 0.026740181410366062, 0.007723548273478345, 0.00791526638129821, 0.044815999218280556, 0.041438562323715455, 0.021562137352146345, 0.038512039102464146, 0.022494542538006552, 0.01755912216620532, 0.02474139311271714, 0.02386238121262663, 0.004419616577636625, 0.024159880201098306, 0.009986293105066673]","[0.31830988618379075, 0.06941434982265829, 0.0241343644377904, 0.01283948912690331, 0.02489750323914116, 0.03223619375843223, 0.010225434469960121, 0.027908862219595987, 0.04145199473515957, 0.03272824706340388, 0.014591491036147911, 0.02316681440961735, 0.010306362374482231, 0.010276443099454462, 0.015331912513339565, 0.0136403749505078, 0.032892265039191695, 0.022449144715192732, 0.027313250380484932, 0.013219336818409819, 0.012133276252582858, 0.021601292726293658, 0.03419448311476272, 0.021648150822957228, 0.010530063379348021, 0.04338901437160397, 0.017407198230537237, 0.038359119167431295, 0.052680445821088245, 0.024242174541443423, 0.010943350365424289, 0.00265290560407628, 0.02629079803085419, 0.006066570234230068, 0.020972417368731622, 0.008872380461368241]","[0.5535192176719401, 293.4957810320781, 0.9896506044236764, 14179.368199217144, 0.9893830727719211, 164.4474546722454, 56423.97701583653, 1.0358071931359132, 1.0525921852208118, 0.0038038497660671496, 0.1358537394615411, -0.9200731261055367, 0.9130359686934184]"
"[0.5084257180845615, 109.38758716875873, 0.9879796707634998, 4550.107780600429, 0.7616327454310436, 76.88023012552301, 18091.043535232955, 3.158434329338616, 4.2671351743003285, 0.0021442819213350756, 2.0863084184226492, -0.5057435376203676, 0.9717716157397783]","[0.3183098861837884, 0.03908208706117973, 0.03991019354913565, 0.024859282656818804, 0.02432463235212368, 0.023971346521667117, 0.008588209599873832, 0.014524853093060012, 0.0024174164473479004, 0.017000515488565085, 0.0018980936236427728, 0.021209392683428467, 0.0033321839199687117, 0.03012255904931334, 0.012036551547782059, 0.008049662445315974, 0.018422348512209193, 0.013638287828515642, 0.018833048012236526, 0.014792924480529449, 0.015637720376921273, 0.011584072200867367, 0.011492117117044757, 0.0019086674570262757, 0.007055970479851181, 0.02498788474777326, 0.036582429629598574, 0.01744332407537992, 0.015144565007258911, 0.02115259186270028, 0.02006642907870336, 0.0065729616517490345, 0.018288732098488664, 0.014328943059310232, 0.007149344894439725, 0.008002633723214251]","[0.3183098861837895, 0.013681947072842371, 0.0113524135577388, 0.007984533908446985, 0.015429244525506796, 0.0068342876312478245, 0.0068979375019794864, 0.006210708184655283, 0.004053468965587144, 0.02405667231481862, 0.00683429548198884, 0.01506628962606348, 0.0007127438756561898, 0.017635972467913673, 0.004120478345599757, 0.0007261399887899547, 0.03350867002703975, 0.009264687223177847, 0.03139191961758339, 0.03168230166423944, 0.004065772068898645, 0.024604149777259384, 0.008579486275226882, 0.005136880443099564, 0.015246950066095027, 0.04256115570851459, 0.014533863046485011, 0.03935950398772503, 0.04099410350399952, 0.03463691197939896, 0.012648975937618899, 0.029967326436121555, 0.013485779578392896, 0.012374505725750735, 0.026484087840331766, 0.01392319328965658]","[0.31830988618379175, 0.011399887279170089, 0.0028211105283475106, 0.01182488545560878, 0.009014600639324705, 0.013191236658635155, 0.001166939137811388, 0.00810687342599939, 0.007494977834376446, 0.015186438515229397, 0.02443030968604286, 0.02017539900045195, 0.0030278907728377344, 0.005377177422499386, 0.0074397814888735765, 0.006649520624706802, 0.019510490087532837, 0.025596143487949287, 0.02114856355010392, 0.022845094727259516, 0.001739751801634845, 0.008349050118912054, 0.007149003379442811, 0.011108900909038181, 0.011405734807579008, 0.025211410959641575, 0.03327091659966202, 0.02724244005031706, 0.02268660469364819, 0.015737944726166235, 0.007522758595808359, 0.016582171891824038, 0.008942854764883412, 0.009115344348087081, 0.016778755366684894, 0.014600655766960458]","[0.5619159848173174, 287.1112970711297, 0.988848648700181, 12873.38589520461, 0.9498605222200236, 142.26195955369596, 51206.432283747316, 1.4387127530249926, 1.5874572983740713, 0.003479155229423809, 0.5860524854802144, -0.7636873063427754, 0.9269891370306034]"
"[0.4798223749620691, 222.19250348675035, 0.9897799590147129, 10870.431136559038, 0.7560687253941263, 134.66596931659694, 43259.53204274939, 3.1430178111854756, 4.253974589352705, 0.002093793687670007, 2.170626671799965, -0.47961507065637254, 0.965247534098052]","[0.31830988618379114, 6.078925710192697e-16, 0.5289433622006082, 0.027788567723794177, 0.10130538725935588, 0.04981575557085392, 0.23156237262192406, 0.08405724091815181, 0.05860174415637777, 0.1517124504604799, 0.04654035487368863, 0.04898945507456458, 0.1306493731225627, 0.022122596564492756, 0.07328202702929289, 0.0425986857290972, 0.13065942283918616, 0.046411658032637026, 0.061771058558997255, 0.03971879635759389, 0.18183290526881188, 0.07281325529136312, 0.06910176023458948, 0.04699851688231826, 0.04170069537828759, 0.06438855852336206, 0.016846976841872873, 0.06673344612857479, 0.016617009003704747, 0.04269896876801218, 0.09572402761681342, 0.07608403277620229, 0.023648375708492077, 0.04916256109766141, 0.02174158508554892, 0.0404311659833456]","[0.31830988618378975, 0.00823655295328357, 0.0060417967377564665, 0.00811161805443547, 0.01681048939371059, 0.004883802299284652, 0.00807033956471393, 0.01413703349790047, 0.007053445415425502, 0.02578298885558427, 0.008947553834377743, 0.004841430945108409, 0.006792327078694409, 0.020996500834072927, 0.00799605051223746, 0.0015225178365197232, 0.03461100806945294, 0.01450191564625049, 0.009277219845983547, 0.020187909787890382, 0.0005641548453428034, 0.028800597465447088, 0.006378631523159027, 0.0011458235370560034, 0.01487464438030452, 0.04179085183473273, 0.021110694730429834, 0.014921005009767813, 0.027002518246033717, 0.0476292089848737, 0.01183405057784325, 0.03735268455015506, 0.0012086256472802752, 0.005536427197752204, 0.029411934095513202, 0.003022129314169909]","[0.3183098861837896, 0.004359440120549938, 0.009565874069561341, 0.006844474370413266, 0.009118602152574585, 0.006248639069703932, 0.015405162512728797, 0.009661021584463962, 0.004348498828018889, 0.014397092864850906, 0.010768251240593513, 0.0063908448223602785, 0.020154603811624084, 0.009539504760367348, 0.003259656604202448, 0.02936512106386599, 0.01970317856464877, 0.016732748272947014, 0.00896068517543071, 0.02841618401384998, 0.02293044870053477, 0.004929072926933132, 0.0010531315553156478, 0.03048507241652005, 0.012108988454843655, 0.02357285183224405, 0.0239450712427865, 0.011847037916364895, 0.0340688067540248, 0.029843502099382403, 0.02271823439070833, 0.0059088169346795645, 0.008892147805289892, 0.025429474841783792, 0.009884028482770724, 0.0053811598534826794]","[0.5690949569894515, 265.60251046025104, 0.9903374336836783, 13743.890689350479, 0.9923568904283909, 155.3404463040446, 54709.960246941686, 0.9839082962734451, 0.9926732001699267, 0.00383079425473424, 0.10387827741817465, -0.9333792042878707, 0.9077509433732639]"
"[0.5461750848649265, 238.9385285913529, 0.99066723705528, 12801.060629453264, 0.9329575036310245, 143.4652719665272, 50965.303989221706, 1.6557202129518758, 1.8522545162901753, 0.0033574428866922977, 0.8059763760204022, -0.716069552942044, 0.934514276314935]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.31830988618378997, 0.008887948233725147, 0.02259376011401332, 0.04378401842897947, 0.0148006606462834, 0.009870808949838435, 0.0028326144646374177, 0.014195414409073617, 0.021932621882801838, 0.030116644105159934, 0.023402682315656134, 0.00763576526983853, 0.01868488434363474, 0.00971684266865816, 0.03105360587767534, 0.026984722386323913, 0.025461856509905872, 0.02717918652427294, 0.030625838239523584, 0.01378554352747739, 0.01073562387445368, 0.013965658925512372, 0.016538153730021314, 0.015210683119062521, 0.01563471361980321, 0.035253124080058915, 0.029074766273711607, 0.01409769290710838, 0.01761747493153452, 0.014401908896069971, 0.006327885567611415, 0.013643153855139194, 0.01880392380974703, 0.02901987061835587, 0.05098072105540116, 0.02265567670961204]","[0.31830988618379225, 0.007338356275767377, 0.0034017916303750156, 0.012518846198240657, 0.0054169132199300115, 0.013836807831760304, 0.011373729157893328, 0.004111083289953219, 0.004387830370970159, 0.00623972560026481, 0.011512974336173801, 0.02410100365185221, 0.005016326184539215, 0.011898243508344624, 0.021109244734375292, 0.0183038475375477, 0.0173618261438083, 0.018485340542433948, 0.02575064411465418, 0.014227406339638307, 0.0015489445817463347, 0.012823456351428331, 0.01437618984379098, 0.007251815026997547, 0.019851690728965515, 0.022318511627420632, 0.03007487297598264, 0.03263048641721072, 0.0035822414189476625, 0.011658161684834028, 0.001665852470415126, 0.015944940944630514, 0.01853955565740499, 0.023409384101296716, 0.015591465344823804, 0.013277872751679957]","[0.5772104170557047, 254.02339609483965, 0.9905137128003197, 13388.978783152994, 0.9894840172743558, 148.69124825662485, 53301.891736517166, 1.013525570112397, 1.0269246012321727, 0.0038075730876172002, 0.15060944136572813, -0.9129207229535362, 0.906527707294072]"
"[0.43293432928199266, 349.6054393305439, 0.9762109634280006, 7348.03694702881, 0.7095963001190617, 114.9429218967922, 29042.542348784693, 3.7165380063389595, 5.23093492355897, 0.0018880318735601809, 2.6315030016015584, -0.4437174617885593, 0.9743460981900403]","[0.31830988618378975, 0.11497909875124575, 0.0811108189190477, 0.04012136837753604, 0.07730856732837928, 0.10149005146639431, 0.09259442475421685, 0.04991924105343849, 0.050143432789351045, 0.055378409112444855, 0.07719483747311175, 0.04952858137130137, 0.08292569000217372, 0.02256635426457835, 0.05261670545189641, 0.03983237817948893, 0.042210766576739764, 0.016274032107214738, 0.025000140937282662, 0.0229668695461936, 0.05057113137871753, 0.018399114316149778, 0.048457315778328756, 0.05990203736527076, 0.04328074528376041, 0.02848403991147723, 0.044109038306871, 0.053281284101055836, 0.029166273262049795, 0.039507556588320454, 0.07286986651903883, 0.01892778254100089, 0.027576852809620044, 0.036267849266379854, 0.028980756211823895, 0.027281658531366552]","[0.31830988618379047, 0.0350667359594492, 0.041325841744433704, 0.02591058886434279, 0.03543953516616961, 0.03753285562493297, 0.015697243494725698, 0.010706476606977561, 0.02281735973679008, 0.006721533664749662, 0.002611119807270486, 0.024782427888758132, 0.013699133413683978, 0.030206014289767706, 0.0062399933173369615, 0.006106154796275003, 0.021438556881254105, 0.004032998311528382, 0.02387871978254663, 0.05119358366392642, 0.00022178921577390874, 0.0277973028120119, 0.012052286711107488, 0.011395297635353253, 0.019704309768804714, 0.04572466100684316, 0.021130346027538036, 0.06487233145839157, 0.05870074737543173, 0.03426703448973649, 0.008831211507612707, 0.04861544659642685, 0.01122762498301402, 0.02282886286278888, 0.02480587692804837, 0.025205771777642487]","[0.31830988618379075, 0.0408562523168685, 0.03043909106244798, 0.023474563463527692, 0.02304247629297671, 0.036633608952462, 0.004102503603645422, 0.010061585770108163, 0.009801341811397352, 0.02273120283435274, 0.0017816933095438693, 0.010492833849488915, 0.023186558507840873, 0.01063048710836902, 0.008407066245946563, 0.021515359142824226, 0.029491187944870437, 0.018680854209498263, 0.020116572456076752, 0.024574498119517344, 0.018086112080272058, 0.031694944043356287, 0.009570147930155086, 0.023486646635076006, 0.02008912234019732, 0.054541145407994145, 0.015797311556028662, 0.0393854269646523, 0.0330836232585312, 0.042150748579463465, 0.018033164873419806, 0.040325128336938264, 0.013076216388011352, 0.019103989453280647, 0.00958067537925967, 0.02674657128961931]","[0.543120517404331, 269.8539051603905, 0.9907119705693315, 14526.972980368857, 0.9907751248751182, 172.8342747559275, 57838.03801631501, 1.046930222876906, 1.0581410860646385, 0.003818498158451696, 0.13101181866886868, -0.9268669739956065, 0.9160999140459612]"
"[0.4882869407400767, 359.94993026499304, 0.9819215462660551, 9955.218946329089, 0.7886762845443842, 125.05362622036262, 39460.925855051355, 3.0274533509332775, 4.031540827469623, 0.002368592273470871, 2.1025162288631574, -0.5014149718484886, 0.9657377963712411]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.31830988618379197, 0.009297096650708297, 0.0016410465860210908, 0.00791533874204871, 0.015241241990040285, 0.012943931330392105, 0.002392392993580974, 0.01617761601921427, 0.030815211882617276, 0.0094707388354167, 0.011152112482264309, 0.0026323464008922506, 0.0019967744332022364, 0.008156853947574916, 0.024807084481123738, 0.011577824317067232, 0.018630325986857627, 0.011927581921525966, 0.014083350042747243, 0.035960788764252724, 0.014139247512512776, 0.013165819834606051, 0.03490976996267189, 0.013216784153341295, 0.004705985596732141, 0.016687750761640075, 0.015837865193192552, 0.018852382513629515, 0.04330878522097743, 0.037342606251360565, 0.03361461906031217, 0.009018840455734565, 0.028677410288109138, 0.00703902829489333, 0.008856911201850086, 0.010281141102413658]","[0.31830988618379047, 0.0035604935797993, 0.007546882673448729, 0.0015823196038220607, 0.010099294145552063, 0.004197501831135958, 0.006170362539731583, 0.005005488565486189, 0.027071784597768062, 0.01894081806561594, 0.0043140562470246144, 0.010827517412439557, 0.002702466159581143, 0.009824590182059533, 0.031239106590219525, 0.010835179843377675, 0.028842329664236138, 0.008941337660950647, 0.014659532485587814, 0.03248558114042746, 0.017960315851178132, 0.0140292190451584, 0.03152685548269184, 0.013635235514397352, 0.006555858957287562, 0.034691248961199864, 0.01448174551302318, 0.01977330632228904, 0.041411978615074535, 0.03488699622848827, 0.039384499486001964, 0.014276053100110726, 0.027477222082837188, 0.015244158030740397, 0.013911901273827229, 0.009909886779825619]","[0.5697557837140071, 236.81788702928867, 0.9913395099999397, 13672.31455885557, 0.9912861540118828, 154.15327754532777, 54452.44034839298, 1.0038062003421362, 1.0141756910590034, 0.00382267125734757, 0.12618450548891552, -0.9279844663210192, 0.9095254033928069]"
"[0.4501644131050271, 294.07304741980477, 0.9763143582017869, 6207.8336302879325, 0.7238179863549046, 102.03336820083683, 24537.26147373193, 3.521646176111763, 4.918956231404375, 0.00195327089744667, 2.483024064421359, -0.4594021325765609, 0.9730349016382789]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.31830988618379, 0.003357329033247822, 0.011466863230348215, 0.00577810559650943, 0.007948673177637824, 0.004519221754335787, 0.016058698784435395, 0.008871728992821274, 0.004791292588020113, 0.014321863311194448, 0.0101238582522566, 0.008427497632859314, 0.01897325791522008, 0.009832587193559224, 0.003624039144150647, 0.03258149340040403, 0.020593795525828393, 0.01741169390286342, 0.008899023990894213, 0.03163880618869376, 0.021274679357679203, 0.005714722109781004, 0.0009413285209390153, 0.029088235602236015, 0.00931143141977947, 0.02432231233641248, 0.024858094629744337, 0.010310791126985377, 0.03233389667708471, 0.03074301714936079, 0.02197387768379791, 0.0065004955751758855, 0.009267844978233823, 0.02265323603221794, 0.011112906029976163, 0.007639191479206116]","[0.3183098861837896, 0.007629221639383242, 0.009381146985862307, 0.00692769298010224, 0.015592941914805975, 0.006332185250359785, 0.014462453110419708, 0.010179754582676422, 0.004196132280399181, 0.023923814136143706, 0.010985889629192277, 0.006410749985800987, 0.017455993433919667, 0.011138612430263704, 0.0027076228852273006, 0.029239265483243956, 0.03200182262878678, 0.01725758960291025, 0.008473239636251987, 0.02946999801220202, 0.01706817564831847, 0.00858293167403029, 0.0025511786355711715, 0.03132766491972076, 0.010772353728736646, 0.03817798728131546, 0.025030568143606394, 0.010918939846966425, 0.036133713706246885, 0.029269709418245863, 0.012062026155420555, 0.001776170755226208, 0.01226482939954563, 0.02795865452806409, 0.004766582650828528, 0.005892604416708882]","[0.5254444582431255, 284.0470711297071, 0.9898293973069996, 13964.1218767297, 0.9502078280984065, 163.99675732217577, 55572.44043578908, 1.5018876586231529, 1.6531231794000316, 0.003489553869379183, 0.5949946764459938, -0.7628561465059576, 0.9326332570082227]"
"[0.5094457714277086, 263.4673640167364, 0.9712825631586713, 4587.236762676003, 0.7420668447710684, 78.9807880055788, 18085.47968668728, 3.2347248541690057, 4.569569925268182, 0.0020706874058730148, 2.373116832733981, -0.4454066035923835, 0.9628523189197952]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.3183098861837921, 0.010554486518175135, 0.011206128557812424, 0.0135376753439031, 0.01683493376597125, 0.03236558333298505, 0.0013543318736304196, 0.011545480992392852, 0.01148124661150995, 0.025350856385707367, 0.010028098348397872, 0.019829887407596353, 0.004398203764997526, 0.005922327225056606, 0.012559660975258898, 0.02294165158316847, 0.022157588850402476, 0.03816723776779249, 0.03190371741638911, 0.027281198000489847, 0.005408911874082201, 0.013174334675433655, 0.017516057754115508, 0.004717315006446798, 0.0015805971477600817, 0.03127225729993399, 0.03308736068347207, 0.03131440729795543, 0.023659935574226416, 0.016690523273505734, 0.01031591038320461, 0.010484947523049211, 0.0026872661190786074, 0.019399982746105365, 0.028254445970476227, 0.010583285757687279]","[0.31830988618378897, 0.00323223814080091, 0.005952812766645387, 0.013269345037267257, 0.015206025313312603, 0.018776517167350126, 0.002093465032925289, 0.011697310737878849, 0.0033091068029819813, 0.026341174476898623, 0.01307043479741769, 0.013033595615244958, 0.004736742863982715, 0.01662353921382058, 0.018837924683173038, 0.01716947811431668, 0.02450281808015776, 0.024038242061184635, 0.025715881353731353, 0.035275365240343956, 0.010210503067678107, 0.02817981787721239, 0.007195134599437761, 0.011396088865202861, 0.019851749829699294, 0.03264728548686234, 0.03248135308006625, 0.023198477390441837, 0.03295260483302427, 0.02479881097850381, 0.0005924445842593779, 0.031755456168860594, 0.008943011166128985, 0.012949383249655269, 0.015996628339341016, 0.011389942821457893]","[0.5574728223736543, 260.1862970711297, 0.9897526504437015, 12695.297239626794, 0.9375299037311887, 141.10306834030683, 50521.00266143604, 1.5683145330981176, 1.7814318745670699, 0.003393643423664618, 0.7144012605533474, -0.720748524677681, 0.9304075643208729]"
"[0.49701967415296794, 241.09602510460246, 0.9798690496612414, 5988.192833609246, 0.7441997401758602, 92.58859832635983, 23711.675309332386, 3.294752192857851, 4.615055913076569, 0.0020955680642857307, 2.3749343328830577, -0.4545878403616011, 0.9663329869566069]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.31830988618378897, 0.002039458538796728, 0.004210024950897545, 0.0008855437160824165, 0.004153127672069371, 0.015030970268519553, 0.006852957993114799, 0.0016847388055328024, 0.002827999385663261, 0.006515400361424561, 0.02414819455268807, 0.0016824755239578885, 0.00851739740953774, 0.003346796419142177, 0.0011161203065611681, 0.010151983707523902, 0.009283740871686581, 0.033601486851615556, 0.0017115336688819309, 0.01501492733034021, 0.007851292066826294, 0.006739101305473999, 0.0061684774315133115, 0.013510316681333732, 0.012479227082051531, 0.012179344257010201, 0.041309030180016144, 0.004757058679848438, 0.018427246636742202, 0.013221529204390254, 0.0034596090670708174, 0.012460384951428507, 0.015576869633095848, 0.018105037072894445, 0.010628212621053902, 0.04722873535968499]","[0.3183098861837896, 0.0055007325184832055, 0.009635664488660165, 0.006152197898601257, 0.01150800653179452, 0.009172478017968218, 0.015763948933981715, 0.008809192159455179, 0.0043952542003308556, 0.018264394438409035, 0.014119811440870697, 0.009766515698250556, 0.021194785507185822, 0.009250310837718628, 0.007214529188224357, 0.01669475560119715, 0.025437524551275577, 0.01951519341337106, 0.014143849240428637, 0.024050789169612743, 0.025236429345499044, 0.007932052947591764, 0.01219952128481398, 0.014427745160984703, 0.008388602082251811, 0.03179779569274063, 0.02515975150178295, 0.018562922206039407, 0.028794897647517543, 0.028846230441710186, 0.027045122677301938, 0.012410520544288572, 0.02025798273940609, 0.006267445096415658, 0.012272286702858392, 0.015469185962332883]","[0.5720534658760452, 245.10118549511856, 0.9907471374463586, 13244.613981575905, 0.9804176012911339, 147.47357043235704, 52733.35474080849, 1.1375646942777276, 1.1747734140672725, 0.0037349030638211596, 0.27083303133486053, -0.8805521852328643, 0.9178618770738871]"
"[0.43663087823800995, 559.6013249651326, 0.9708876156541671, 9611.052779420246, 0.7181998532483332, 131.02140864714087, 37884.609792715855, 3.5993107676959712, 5.0282723315641515, 0.0019596875499499336, 2.7097763380675737, -0.4276703159333891, 0.9670208189333914]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.31830988618379225, 0.005109527074630106, 0.0032561537157555416, 0.007454995256765301, 0.010807704608048535, 0.0039756417097481485, 0.004423092121172024, 0.01320007773644597, 0.005271086672375461, 0.017426420519727762, 0.006485051680227672, 0.021428117615557064, 0.0038864203326369985, 0.020043354590152388, 0.006745914145161347, 0.005157278079068077, 0.024654495808659752, 0.009491772418844496, 0.03129037824330583, 0.03342537219811759, 0.0007331983638624522, 0.02822661752009113, 0.007675561444782439, 0.007954858440187392, 0.0135150927995963, 0.031040737358900027, 0.012255331875268278, 0.04205588212903908, 0.04236150359168479, 0.03364196967698162, 0.005760068834133154, 0.037638640677819066, 0.008647326953366298, 0.012879161456459946, 0.020060329194780187, 0.010978228077226758]","[0.31830988618379225, 0.0018600449892302842, 0.0037375623523586764, 0.0043195691319776585, 0.004298308086609409, 0.009011426038770457, 0.006893085530287966, 0.005684338780751847, 0.011987441859142252, 0.007924426731294927, 0.014736757683866637, 0.01587953353591363, 0.01101008743423168, 0.004615922422425895, 0.01687393328746767, 0.009037318334445767, 0.013092841232920212, 0.021318758812646436, 0.021606903427918312, 0.02679754506643792, 0.016350395976970054, 0.0038389681729363487, 0.021858213214563826, 0.008001533826105864, 0.006849762540308508, 0.01951990448075696, 0.027911758991605185, 0.02652418216261917, 0.03230598680892195, 0.016463546366815816, 0.022932945950212297, 0.014062084197663268, 0.02687978479800303, 0.013460110950809338, 0.007069944428254183, 0.012170990182094376]","[0.5444661725036912, 295.0247210599721, 0.9898178340317739, 14487.326271277634, 0.9910954733746522, 171.82283821478381, 57654.28036405053, 1.034261021824163, 1.0445693239949294, 0.003820816211923011, 0.11837723594956846, -0.9311153522528531, 0.915397659882985]"
"[0.4922171575896883, 304.57649930264995, 0.9793646177844206, 7379.957786115037, 0.7579430368093331, 104.62269874476988, 29215.254645157504, 3.23489664496294, 4.452549935553757, 0.002171754436543717, 2.2692596057969894, -0.47815922309509606, 0.9690541775869105]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.3183098861837892, 0.022931551240414145, 0.011616917336541688, 0.020452171439978645, 0.015289787292671194, 0.019012132295459734, 0.002496671780635089, 0.01951339695366703, 0.011608956512274981, 0.02211499617172021, 0.017225631258322043, 0.0055863711681611045, 0.02366725704050797, 0.007966042082343253, 0.028848223458861615, 0.01066696342883546, 0.028319030983256933, 0.008851327925888289, 0.014036387585135724, 0.054751436001566636, 0.0059791463060297305, 0.011149658476332605, 0.011142999469506955, 0.007448766978609426, 0.02457273023230417, 0.01610222422356242, 0.007777317673868672, 0.01797152056451734, 0.04613496380052956, 0.03951560200417767, 0.01762788212043248, 0.008017055915629762, 0.006431234415411652, 0.010906607663926596, 0.007077599069797411, 0.00834674519844173]","[0.31830988618378986, 0.00651447651280141, 0.0055572681383200175, 0.002436820486451907, 0.01344877913158858, 0.007885125853665548, 0.004851627766158672, 0.003228036908789222, 0.004104043935675873, 0.018673336506078865, 0.014160679618155588, 0.008131443374068181, 0.0011831833841213658, 0.0004984033685807411, 0.004980050356005531, 0.0025093518080216404, 0.023656896934204395, 0.018224860154143624, 0.009976391961010501, 0.04172158303498022, 0.012505910883710909, 0.0038152638055002695, 0.004457781979724005, 0.008443545281895533, 0.0091166440959892, 0.02950989286069093, 0.028092271528566925, 0.01597267759904861, 0.05164166677982661, 0.05701389864801898, 0.03188969298833131, 0.008408341801061073, 0.012500496485904605, 0.014534590927916459, 0.010082579991963088, 0.02102509628293454]","[0.5738364686428326, 318.0759762900976, 0.9882356845938269, 13518.677683666823, 0.9892598145820841, 151.0021269177127, 53756.63475837719, 1.0071233395584787, 1.0210017871243933, 0.0038058616066953673, 0.1406422960629003, -0.9146099027668582, 0.9061236866424894]"
